ship name,class,launch date,displacement (tons) (1GRT (tonneau) = 2.83168m^3),length overall (longueur hors-tout) (Loa) (meters),Length between perpendicular (longueur entre perpendiculaires) (Lpp),Length at waterline (longueur à la ligne de flotaison) (LWL),hull length (length od deck) (longueur au pont) (LOD) (meters),Length (which one?),(longueur de carêne) (L),Beam (maitre bau) (B)(meters),draft (tirant d'eau) (d) (T) (meters),(creux) (D) (meters),Freeboard (franc-bord) (FB) (f) (=D-T) (meters),air-draft (tirant d'air),mast number /,sail area (m^2),sail number /,canon number /,broadside (tons) /,cruise speed (knots) /,autonomy (days),crew number,flag(s),source(s),,,
grace dieu,,1416,,,,,,,,,,,,,,,,,,,,,,,,,
Nina,carrack,1460,105,,,,19,,,,,,,,3,,5,0,,,,,,,,,
Santa María,carrack,1460,150 tons [1],,,,19 [1],,,5.5 [1],Draught 3.2m [1],,,,3,,,4x90mm bombard [1],,,,,,https://en.wikipedia.org/wiki/Santa_Mar%C3%ADa_%28ship%29,,,
Peter von Danzing,,1462,,,,,,,,,,,,,,,,,,,,,,,,,
Mars/Makalös,,1564,,,,,,,,,,,,,,,,,,,,,,,,,
Adler von Lübeck,,1566,,,,,,,,,,,,,,,,,,,,,,,,,
Vasa,,1627,,,,,,,,,,,,,,,,,,,60,,,,,,
Batavia,indiaman,1628 [1],1200 [1],,,,,56.6 [2] [1],,10.6 [2] 10.5 [1],,Draught: 5.1 [1],,,3 [2],1180 [1],,24 [1],,,,,,,,,
HMS Sovereign of the Seas,,1637,,,,,,,,,,,,,,,,,,,,,,,,,
Stora Kronan,,1668,,,,,,,,,,,,,,,,,,,,,,,,,
Gothebörg,indiaman,1745,"788 GT [1] [7]
166 DWT [1]",40.9 [1],40.55 [1],,47 [7],58 [1],,11 [1] [7],,"Draught: 4.95 [1]
Depth: 6.75 [1]",5.5 [7],,3 [7],1964 [1] [7],26 [7],10 [1],,,,,,,,,
HMS Rose,,1757,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Victory,ship of the line,1759,,,,,,,,,,,,,,,,,,,,,,,,,
Santisima trinidad,,1769,,,,,,,,,,,,,,,,,,,,,,,,,
Bethia/HMS Bounty,,1784,215 [1],,,,,27.69 [1],,7.42 [1],3.45 [1],,,,3 [1],,,14 [1],,,,,,,,,
HMS bounty replica,,1960 [1],409/181 [1],54.9 [1],,,37 [1],,,,4 [1],6.5 [1],,,3 [1],929 [1],19 [9],,,,,,,,,,
Temeraire,,1782,,,,,,,,,,,,,,,,,,,,,,,,,
HMS indefatigable,,1784,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce de marseille,,1788,,,,,,,,,,,,,,,,,,,,,,,,,
Tonnant,,1789,,,,,,,,,,,,,,,,,,,,,,,,,
Renard,,1793?[2],,,,,,,,,,,,,,,,,,,,,,,,,
USS constitution,,1794,,,,,,,,,,,,,,,,,,,,,,,,,
HMS St Lawrence,,1814,,,,,,,,,,,,,,,,,,,,,,,,,
Black Pearl,indiaman,,,,,,,,,,,,,,,,,,,,,,,,,,
Concorde / Hermione,frigate,1779 [1],550 [1],66 [1],,,46.5 [1],44.2 [1],,11.5 [1],,5.78 [1],,,3 [1],2200 / 3315 [1],,32 [1],,,,,,,,,
HMS Temeraire,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argonaute,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principe de Asturias,,,,,,,,,,,,,,,,,,,,,,,,,,,
ship name,class,launch date,displacement (tons) (1GRT (tonneau) = 2.83168m^3),length overall (longueur hors-tout) (Loa) (meters),Length between perpendicular (longueur entre perpendiculaires) (Lpp),Length at waterline (longueur à la ligne de flotaison) (LWL),hull length (length od deck) (longueur au pont) (LOD) (meters),Length (which one?),(longueur de carêne) (L),Beam (maitre bau) (B)(meters),draft (tirant d'eau) (d) (T) (meters),(creux) (D) (meters),Freeboard (franc-bord) (FB) (f) (=D-T) (meters),air-draft (tirant d'air),mast number /,sail area (m^2),sail number /,canon number /,broadside (tons) /,cruise speed (knots) /,autonomy (days),crew number,flag(s),source(s),,,
Uranie,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Rivoli,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Orénoque,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bretagne,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Océan,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Numidien,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Belle Poule,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Valmy,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bucentaure,ship of the line,,,,,,,,,,,,,,,,,,,,,,,,,, 
HMS endeavour,bark,1764 [1],,,,,,32 [1],,8.92 [1],,,,,,2777 [1],,22 [1],,,,,,,,, 
HMS endeavour replica,bark,1993 [1],550 [10],43.7 [10],,30.92 [10],33.3 [10],43.6 [1],,9.28 [1],3.4 [1] 3.45 [10],,,,3 [1],930 [10],27 [10],,,,,,,,,10,http://www.anmm.gov.au/whats-on/vessels/hmb-endeavour
Victoria,carrack,1519 [1],,,,,,,,,,,,,,,,,,,,,,,,,
Real,galley,Before 1517 [1],,,,,,,,,,,,,,,,,,,,,,,,,
Golden Hind,galleon,1577,300 [1],,,,31 [1],,,6.1 [1],,Draught: 2.7 [1],,,,386 [1],,22 [1],,,,,,https://en.wikipedia.org/wiki/Golden_Hind,,,
Mayflower,,Before 1620 [5],242 [1],32.46 [1],,,27 [1],,,7.77 [1],4 [1],,,,4[5],,6 [5],,,,,,,https://en.wikipedia.org/wiki/Mayflower_II,,,
kalmar nickel,pinnace,1625 [1],303 [1],43 [1],,27 [1],28 [1],,,7.6 [1],3.78 [1],,,,,710 [1],,,,,,,,,,,
De zeven provincïen,ship of the line,1665 [1],1600 [1],,,,46 [1],,,12 [1],4.7 [1],,,,,,,80 [1],,,,,,,,,
Goto Predestinatia,ship of the line,1700 [1],,,,,,36 [1],,19.5 [1],,,,,,,,58 [1],,,,,,,,,
Shtandart,frigate,1703 [1],225 [1] 220 [6],34.5 [1] [6],,24.2 [6],27.5 [1] 25.4 [6],,,6.9 [1],3.3 [1],Draught: 3.3 [6],,,3 [1],620 [1] 660 [6],14 [6],24 [1] then 28 [1],,,,,,,,,
Amsterdam,indiaman,1748 [1],1100 [1],,,,,46[1],,11.5 [1],,Draught: 5.5 [1],,,,,,42 [1],,,,,,,,,
Lady washington,brig,1750? [1],178 [1],34 [1],,18 [1],21 [1],,,6.6 [1],3.3 [1],,,,2 [1],408 [1],12 [1],,,,,,,,,,
HMS rose,frigate,1757 [1],508 [1] [8],54.7 [1] [8],,34.9 [1],41.30 [1] [8],,,9.8 [8],4 [1],,,,,1200 [1],,,,,,,,http://sdmaritime.org/visit/the-ships/hms-surprise/,,8,http://www.tallshiprose.org/info/shipspecs.html
HMS Sultana,schooner,1767 [1],,,,11.7 [1],15.4 [1],,,4.9 [1],2.5 [1],,,,,,,8 [1],,,,,,,,,
Hector,Fluyt,c 1770 [1],,,,,25.9 [1],,,6.7 [1],,,,,3 [1],,,,,,,,,,,,
Grand turk,frigate,1997 [1],,46 [1],,30 [1],38 [1],,,10 [1],,3 [1],,,3 [1],790 [1],,,,,,,,,,,
friendship of salem,indiaman,1797 [1],,52 [1],,,,,,9.1 [1],,6.1 [1],,,,874[11],21 [1],,,,,,,,,11,http://www.salemweb.com/frndship/facts.shtml
HMS lady nelson,brig,1799 [1],,,,,,16 [1],,5.33 [1],,3.7 [1],,,,,,,,,,,,,,,
USS niagara,brig,1813 [1],302 [1],60.35 [12],,,,33.7 [1] 33.73 [12],,9.8 [1],2.7 [1],,,,2 [1],1170 [1],,20 [1],,,,,,,,12,http://www.flagshipniagara.org/us-brig-niagara/flagship-niagara-about/
ship name,class,launch date,displacement (tons) (1GRT (tonneau) = 2.83168m^3),length overall (longueur hors-tout) (Loa) (meters),Length between perpendicular (longueur entre perpendiculaires) (Lpp),Length at waterline (longueur à la ligne de flotaison) (LWL),hull length (length od deck) (longueur au pont) (LOD) (meters),Length (which one?),(longueur de carêne) (L),Beam (maitre bau) (B)(meters),draft (tirant d'eau) (d) (T) (meters),(creux) (D) (meters),Freeboard (franc-bord) (FB) (f) (=D-T) (meters),air-draft (tirant d'air),mast number /,sail area (m^2),sail number /,canon number /,broadside (tons) /,cruise speed (knots) /,autonomy (days),crew number,flag(s),source(s),,sources,  
HMS buffalo,storeship,1813 [1],589 bm [1],37 [1],,,,Keel: 30.1 [1],,10.21 [1],4.78 [1],,,,3 [13],,,18 [1],,,,,,,,13,http://www.slsa.sa.gov.au/fh/passengerlists/1836Buffalo.htm
HMS goliath,,1781,,,,,,,,,,,,,,,,,,,,,,,,,
HMS zealous,,1785,,,,,,,,,,,,,,,,,,,,,,,,,
HMS orion,,1787,,,,,,,,,,,,,,,,,,,,,,,,,
HMS audacious,,1785,,,,,,,,,,,,,,,,,,,,,,,,,
HMS theseus,,1786,,,,,,,,,,,,,,,,,,,,,,,,,
HMS vanguard,,1787,,,,,,,,,,,,,,,,,,,,,,,,,
HMS minautor,,1793,,,,,,,,,,,,,,,,,,,,,,,,,
HMS defence,,1763,,,,,,,,,,,,,,,,,,,,,,,,,
HMS bellorophon,,1786,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Majestic,,1785,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Alexander,,1778,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Swiftsure,,1787,,,,,,,,,,,,,,,,,,,,,,,,,
HMS colloden,,1783,,,,,,,,,,,,,,,,,,,,,,,,,
Le conquerant,,1747,,,,,,,,,,,,,,,,,,,,,,,,,
Spartiate,,1797,,,,,,,,,,,,,,,,,,,,,,,,,
Aquilon,,1789,,,,,,,,,,,,,,,,,,,,,,,,,
L'orient,,1791,,,,,,,,,,,,,,,,,,,,,,,,,
Heureux,,1782,,,,,,,,,,,,,,,,,,,,,,,,,
Guillaume tell,,1795,,,,,,,,,,,,,,,,,,,,,,,,,
Généreux,,1785,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce de Bordeaux,,1785,,,,,,,,,,,,,,,,,,,,,,,,,
Guerrier,,1753,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Neptune,,1797,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Conqueror,,1801,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Britannia,,1762,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Ajax,,1798,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Agamemnon,,1781,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Africa,,1781,,,,,,,,,,,,,,,,,,,,,,,,,
ship name,class,launch date,displacement (tons) (1GRT (tonneau) = 2.83168m^3),length overall (longueur hors-tout) (Loa) (meters),Length between perpendicular (longueur entre perpendiculaires) (Lpp),Length at waterline (longueur à la ligne de flotaison) (LWL),hull length (length od deck) (longueur au pont) (LOD) (meters),Length (which one?),(longueur de carêne) (L),Beam (maitre bau) (B)(meters),draft (tirant d'eau) (d) (T) (meters),(creux) (D) (meters),Freeboard (franc-bord) (FB) (f) (=D-T) (meters),air-draft (tirant d'air),mast number /,sail area (m^2),sail number /,canon number /,broadside (tons) /,cruise speed (knots) /,autonomy (days),crew number,flag(s),source(s),,sources,  
HMS Royal sovereign,,1786,,,,,,,,,,,,,,,,,,,,,,,,,
HMS belleisle,,1795,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Mars,,1794,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Tonnant,,1798,,,,,,,,,,,,,,,,,,,,,,,,,
HMS collosus,,1803,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Achille,,1798,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Defiance,,1783,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Prince,,1788,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Dreadnought,,1801,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Thunderer,,1783,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Polyphemos,,1782,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Euryalus,,1803,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Phoebe,,1795,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Sirius,,1797,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Pikle,,1800,,,,,,,,,,,,,,,,,,,,,,,,,
Scipion,,1801,,,,,,,,,,,,,,,,,,,,,,,,,
L'intrépide,,1800,,,,,,,,,,,,,,,,,,,,,,,,,
Formidable,,1795,,,,,,,,,,,,,,,,,,,,,,,,,
Duguay-Trouin,,1800,,,,,,,,,,,,,,,,,,,,,,,,,
Le Redoutable,,1791,,,,,,,,,,,,,,,,,,,,,,,,,
L'indomptable,,1789,,,,,,,,,,,,,,,,,,,,,,,,,
Le pluton,,1804,,,,,,,,,,,,,,,,,,,,,,,,,
L'algésiras,,1804,,,,,,,,,,,,,,,,,,,,,,,,,
Aigle,,1800,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Berwick,,1775,,,,,,,,,,,,,,,,,,,,,,,,,
L'Hortense,,1803,,,,,,,,,,,,,,,,,,,,,,,,,
Neptuno,,1795,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Ana,,1784,,,,,,,,,,,,,,,,,,,,,,,,,
San Juan Nepomuceno,,1766,,,,,,,,,,,,,,,,,,,,,,,,,
ship name,class,launch date,displacement (tons) (1GRT (tonneau) = 2.83168m^3),length overall (longueur hors-tout) (Loa) (meters),Length between perpendicular (longueur entre perpendiculaires) (Lpp),Length at waterline (longueur à la ligne de flotaison) (LWL),hull length (length od deck) (longueur au pont) (LOD) (meters),Length (which one?),(longueur de carêne) (L),Beam (maitre bau) (B)(meters),draft (tirant d'eau) (d) (T) (meters),(creux) (D) (meters),Freeboard (franc-bord) (FB) (f) (=D-T) (meters),air-draft (tirant d'air),mast number /,sail area (m^2),sail number /,canon number /,broadside (tons) /,cruise speed (knots) /,autonomy (days),crew number,flag(s),source(s),,sources,  
